case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
5,1,1,100,others,322.413,209.931,33.583,-4.404,6.153,4.042,1.594
5,2,1,100,others,340.91,211.286,36.382,-5.257,6.14,4.626,1.89
5,3,1,100,others,265.496,212.025,25.841,-2.105,6.202,4.528,1.946
5,4,1,100,others,352.631,205.432,33.316,-5.318,6.125,4.648,1.804
5,5,1,100,agent,379.376,197.342,31.351,-5.908,6.097,5.024,2.258
5,6,1,100,others,168.978,219.884,35.928,0.054,0.001,7.145,2.162
5,7,1,100,others,251.84,212.218,26.1,-1.769,6.215,4.857,1.978
5,8,1,100,others,110.833,214.108,24.506,1.192,0.048,13.227,2.687
5,1,2,200,others,325.101,209.573,33.592,-4.482,6.15,4.042,1.594
5,2,2,200,others,343.821,210.861,36.38,-5.347,6.137,4.626,1.89
5,3,2,200,others,267.564,211.856,25.841,-2.154,6.2,4.528,1.946
5,4,2,200,others,355.297,205.002,33.35,-5.402,6.122,4.648,1.804
5,5,2,200,agent,381.884,196.868,31.352,-5.964,6.095,5.024,2.258
5,6,2,200,others,171.854,219.884,35.937,-0.035,6.282,7.145,2.162
5,7,2,200,others,253.928,212.073,26.089,-1.818,6.213,4.857,1.978
5,8,2,200,others,112.796,214.202,24.523,1.15,0.047,13.227,2.687
5,1,3,300,others,327.79,209.21,33.6,-4.56,6.148,4.042,1.594
5,2,3,300,others,346.732,210.429,36.377,-5.438,6.135,4.626,1.89
5,3,3,300,others,269.632,211.682,25.839,-2.204,6.198,4.528,1.946
5,4,3,300,others,357.967,204.566,33.383,-5.486,6.12,4.648,1.804
5,5,3,300,agent,384.393,196.389,31.353,-6.019,6.094,5.024,2.258
5,6,3,300,others,174.731,219.877,35.944,-0.123,6.28,7.145,2.162
5,7,3,300,others,256.015,211.924,26.078,-1.866,6.211,4.857,1.978
5,8,3,300,others,114.76,214.293,24.539,1.108,0.045,13.227,2.687
5,1,4,400,others,330.479,208.841,33.606,-4.638,6.146,4.042,1.594
5,2,4,400,others,349.642,209.991,36.374,-5.528,6.133,4.626,1.89
5,3,4,400,others,271.7,211.504,25.836,-2.253,6.196,4.528,1.946
5,4,4,400,others,360.639,204.123,33.416,-5.57,6.118,4.648,1.804
5,5,4,400,agent,386.902,195.906,31.353,-6.075,6.092,5.024,2.258
5,6,4,400,others,177.607,219.863,35.95,-0.21,6.277,7.145,2.162
5,7,4,400,others,258.101,211.773,26.067,-1.915,6.209,4.857,1.978
5,8,4,400,others,116.725,214.38,24.553,1.066,0.043,13.227,2.687
5,1,5,500,others,333.168,208.467,33.612,-4.715,6.144,4.042,1.594
5,2,5,500,others,352.551,209.545,36.37,-5.618,6.13,4.626,1.89
5,3,5,500,others,273.768,211.32,25.832,-2.302,6.194,4.528,1.946
5,4,5,500,others,363.314,203.673,33.449,-5.653,6.116,4.648,1.804
5,5,5,500,agent,389.41,195.419,31.352,-6.131,6.091,5.024,2.258
5,6,5,500,others,180.484,219.842,35.954,-0.298,6.274,7.145,2.162
5,7,5,500,others,260.186,211.617,26.055,-1.964,6.207,4.857,1.978
5,8,5,500,others,118.692,214.464,24.566,1.024,0.042,13.227,2.687
5,1,6,600,others,335.858,208.086,33.617,-4.793,6.141,4.042,1.594
5,2,6,600,others,355.46,209.093,36.367,-5.709,6.128,4.626,1.89
5,3,6,600,others,275.835,211.131,25.827,-2.351,6.191,4.528,1.946
5,4,6,600,others,365.99,203.217,33.481,-5.737,6.113,4.648,1.804
5,5,6,600,agent,391.918,194.928,31.35,-6.187,6.089,5.024,2.258
5,6,6,600,others,183.361,219.813,35.958,-0.386,6.272,7.145,2.162
5,7,6,600,others,262.271,211.457,26.042,-2.013,6.205,4.857,1.978
5,8,6,600,others,120.659,214.544,24.578,0.982,0.04,13.227,2.687
5,1,7,700,others,338.547,207.699,33.622,-4.87,6.139,4.042,1.594
5,2,7,700,others,358.369,208.634,36.364,-5.799,6.125,4.626,1.89
5,3,7,700,others,277.901,210.938,25.822,-2.4,6.189,4.528,1.946
5,4,7,700,others,368.67,202.754,33.514,-5.82,6.111,4.648,1.804
5,5,7,700,agent,394.426,194.432,31.348,-6.243,6.087,5.024,2.258
5,6,7,700,others,186.239,219.777,35.96,-0.473,6.27,7.145,2.162
5,7,7,700,others,264.355,211.292,26.028,-2.061,6.204,4.857,1.978
5,8,7,700,others,122.626,214.621,24.589,0.94,0.038,13.227,2.687
5,1,8,800,others,341.237,207.305,33.626,-4.947,6.137,4.042,1.594
5,2,8,800,others,361.278,208.168,36.36,-5.89,6.123,4.626,1.89
5,3,8,800,others,279.967,210.74,25.817,-2.448,6.187,4.528,1.946
5,4,8,800,others,371.352,202.284,33.546,-5.904,6.109,4.648,1.804
5,5,8,800,agent,396.934,193.933,31.345,-6.3,6.086,5.024,2.258
5,6,8,800,others,189.116,219.734,35.961,-0.56,6.267,7.145,2.162
5,7,8,800,others,266.437,211.124,26.014,-2.11,6.202,4.857,1.978
5,8,8,800,others,124.594,214.694,24.599,0.898,0.037,13.227,2.687
5,9,8,800,others,96.818,221.379,36.277,2.156,0.059,4.908,2.01
5,1,9,900,others,343.927,206.905,33.629,-5.025,6.135,4.042,1.594
5,2,9,900,others,364.187,207.696,36.356,-5.981,6.121,4.626,1.89
5,3,9,900,others,282.033,210.539,25.81,-2.496,6.185,4.528,1.946
5,4,9,900,others,374.037,201.808,33.578,-5.987,6.107,4.648,1.804
5,5,9,900,agent,399.442,193.429,31.342,-6.356,6.084,5.024,2.258
5,6,9,900,others,191.992,219.684,35.962,-0.647,6.265,7.145,2.162
5,7,9,900,others,268.518,210.952,25.998,-2.158,6.2,4.857,1.978
5,8,9,900,others,126.563,214.764,24.608,0.856,0.035,13.227,2.687
5,9,9,900,others,99.716,221.548,36.296,2.066,0.056,4.908,2.01
5,1,10,1000,others,346.618,206.499,33.632,-5.102,6.132,4.042,1.594
5,2,10,1000,others,367.095,207.216,36.352,-6.072,6.118,4.626,1.89
5,3,10,1000,others,284.098,210.333,25.803,-2.544,6.183,4.528,1.946
5,4,10,1000,others,376.724,201.325,33.611,-6.071,6.104,4.648,1.804
5,5,10,1000,agent,401.949,192.921,31.338,-6.413,6.082,5.024,2.258
5,6,10,1000,others,194.869,219.626,35.963,-0.734,6.262,7.145,2.162
5,7,10,1000,others,270.598,210.777,25.982,-2.206,6.198,4.857,1.978
5,8,10,1000,others,128.532,214.83,24.617,0.814,0.033,13.227,2.687
5,9,10,1000,others,102.616,221.708,36.318,1.976,0.054,4.908,2.01
5,1,11,1100,others,349.309,206.087,33.634,-5.179,6.13,4.042,1.594
5,2,11,1100,others,370.003,206.729,36.348,-6.163,6.116,4.626,1.89
5,3,11,1100,others,286.162,210.123,25.796,-2.591,6.182,4.528,1.946
5,4,11,1100,others,379.414,200.836,33.643,-6.154,6.102,4.648,1.804
5,5,11,1100,agent,404.455,192.409,31.335,-6.47,6.08,5.024,2.258
5,6,11,1100,others,197.746,219.562,35.962,-0.821,6.26,7.145,2.162
5,7,11,1100,others,272.677,210.599,25.965,-2.255,6.196,4.857,1.978
5,8,11,1100,others,130.502,214.893,24.626,0.773,0.031,13.227,2.687
5,9,11,1100,others,105.52,221.862,36.341,1.887,0.051,4.908,2.01
5,1,12,1200,others,352,205.669,33.636,-5.256,6.128,4.042,1.594
5,2,12,1200,others,372.911,206.235,36.344,-6.254,6.113,4.626,1.89
5,3,12,1200,others,288.226,209.909,25.788,-2.638,6.18,4.528,1.946
5,4,12,1200,others,382.106,200.34,33.675,-6.238,6.1,4.648,1.804
5,5,12,1200,agent,406.96,191.892,31.332,-6.527,6.079,5.024,2.258
5,6,12,1200,others,200.624,219.49,35.961,-0.907,6.257,7.145,2.162
5,7,12,1200,others,274.754,210.416,25.948,-2.303,6.194,4.857,1.978
5,8,12,1200,others,132.472,214.953,24.634,0.731,0.03,13.227,2.687
5,9,12,1200,others,108.427,222.008,36.366,1.797,0.049,4.908,2.01
5,1,13,1300,others,354.692,205.245,33.637,-5.333,6.126,4.042,1.594
5,2,13,1300,others,375.818,205.733,36.339,-6.346,6.111,4.626,1.89
5,3,13,1300,others,290.289,209.692,25.78,-2.684,6.178,4.528,1.946
5,4,13,1300,others,384.802,199.838,33.706,-6.321,6.098,4.648,1.804
5,5,13,1300,agent,409.465,191.37,31.329,-6.585,6.077,5.024,2.258
5,6,13,1300,others,203.501,219.412,35.959,-0.994,6.255,7.145,2.162
5,7,13,1300,others,276.83,210.227,25.93,-2.351,6.192,4.857,1.978
5,8,13,1300,others,134.444,215.01,24.642,0.69,0.028,13.227,2.687
5,9,13,1300,others,111.336,222.147,36.391,1.707,0.046,4.908,2.01
5,1,14,1400,others,357.384,204.815,33.636,-5.409,6.124,4.042,1.594
5,2,14,1400,others,378.724,205.224,36.334,-6.438,6.109,4.626,1.89
5,3,14,1400,others,292.351,209.472,25.771,-2.73,6.176,4.528,1.946
5,4,14,1400,others,387.5,199.329,33.738,-6.404,6.096,4.648,1.804
5,5,14,1400,agent,411.971,190.844,31.326,-6.642,6.075,5.024,2.258
5,6,14,1400,others,206.378,219.326,35.956,-1.08,6.253,7.145,2.162
5,7,14,1400,others,278.905,210.035,25.911,-2.399,6.19,4.857,1.978
5,8,14,1400,others,136.416,215.064,24.649,0.648,0.026,13.227,2.687
5,9,14,1400,others,114.249,222.278,36.415,1.618,0.044,4.908,2.01
5,1,15,1500,others,360.076,204.378,33.635,-5.486,6.121,4.042,1.594
5,2,15,1500,others,381.63,204.708,36.329,-6.53,6.106,4.626,1.89
5,3,15,1500,others,294.413,209.248,25.762,-2.776,6.175,4.528,1.946
5,4,15,1500,others,390.2,198.813,33.769,-6.487,6.093,4.648,1.804
5,5,15,1500,agent,414.476,190.313,31.323,-6.7,6.073,5.024,2.258
5,6,15,1500,others,209.255,219.234,35.953,-1.165,6.25,7.145,2.162
5,7,15,1500,others,280.978,209.837,25.892,-2.446,6.188,4.857,1.978
5,8,15,1500,others,138.389,215.114,24.655,0.606,0.025,13.227,2.687
5,9,15,1500,others,117.164,222.402,36.438,1.528,0.042,4.908,2.01
5,1,16,1600,others,362.767,203.935,33.633,-5.563,6.119,4.042,1.594
5,2,16,1600,others,384.536,204.185,36.324,-6.622,6.104,4.626,1.89
5,3,16,1600,others,296.473,209.022,25.754,-2.822,6.173,4.528,1.946
5,4,16,1600,others,392.902,198.291,33.799,-6.571,6.091,4.648,1.804
5,5,16,1600,agent,416.982,189.776,31.32,-6.759,6.071,5.024,2.258
5,6,16,1600,others,212.13,219.136,35.949,-1.251,6.248,7.145,2.162
5,7,16,1600,others,283.05,209.636,25.872,-2.493,6.186,4.857,1.978
5,8,16,1600,others,140.362,215.162,24.66,0.565,0.023,13.227,2.687
5,9,16,1600,others,120.082,222.519,36.46,1.439,0.039,4.908,2.01
5,1,17,1700,others,365.458,203.486,33.63,-5.64,6.117,4.042,1.594
5,2,17,1700,others,387.442,203.653,36.319,-6.715,6.101,4.626,1.89
5,3,17,1700,others,298.532,208.792,25.745,-2.867,6.171,4.528,1.946
5,4,17,1700,others,395.607,197.763,33.83,-6.654,6.089,4.648,1.804
5,5,17,1700,agent,419.489,189.235,31.316,-6.817,6.07,5.024,2.258
5,6,17,1700,others,215.005,219.031,35.946,-1.337,6.246,7.145,2.162
5,7,17,1700,others,285.12,209.431,25.851,-2.54,6.184,4.857,1.978
5,8,17,1700,others,142.335,215.205,24.665,0.523,0.021,13.227,2.687
5,9,17,1700,others,123.002,222.629,36.479,1.35,0.037,4.908,2.01
5,1,18,1800,others,368.149,203.031,33.627,-5.716,6.115,4.042,1.594
5,2,18,1800,others,390.348,203.115,36.314,-6.808,6.099,4.626,1.89
5,3,18,1800,others,300.591,208.56,25.738,-2.912,6.17,4.528,1.946
5,4,18,1800,others,398.315,197.227,33.861,-6.738,6.087,4.648,1.804
5,5,18,1800,agent,421.995,188.689,31.31,-6.875,6.068,5.024,2.258
5,6,18,1800,others,217.88,218.919,35.942,-1.422,6.243,7.145,2.162
5,7,18,1800,others,287.188,209.222,25.83,-2.587,6.182,4.857,1.978
5,8,18,1800,others,144.308,215.245,24.67,0.482,0.02,13.227,2.687
5,9,18,1800,others,125.923,222.732,36.497,1.261,0.034,4.908,2.01
5,1,19,1900,others,370.84,202.571,33.623,-5.793,6.113,4.042,1.594
5,2,19,1900,others,393.253,202.569,36.308,-6.901,6.096,4.626,1.89
5,3,19,1900,others,302.648,208.324,25.732,-2.957,6.168,4.528,1.946
5,4,19,1900,others,401.025,196.686,33.892,-6.821,6.085,4.648,1.804
5,5,19,1900,agent,424.5,188.139,31.303,-6.934,6.066,5.024,2.258
5,6,19,1900,others,220.754,218.801,35.939,-1.507,6.241,7.145,2.162
5,7,19,1900,others,289.254,209.01,25.809,-2.634,6.181,4.857,1.978
5,8,19,1900,others,146.282,215.282,24.674,0.44,0.018,13.227,2.687
5,9,19,1900,others,128.846,222.829,36.512,1.173,0.032,4.908,2.01
5,1,20,2000,others,373.53,202.105,33.619,-5.869,6.11,4.042,1.594
5,2,20,2000,others,396.158,202.015,36.302,-6.994,6.094,4.626,1.89
5,3,20,2000,others,304.704,208.086,25.727,-3.003,6.167,4.528,1.946
5,4,20,2000,others,403.738,196.138,33.922,-6.905,6.083,4.648,1.804
5,5,20,2000,agent,427.004,187.583,31.295,-6.992,6.064,5.024,2.258
5,6,20,2000,others,223.628,218.676,35.936,-1.593,6.239,7.145,2.162
5,7,20,2000,others,291.318,208.796,25.788,-2.68,6.179,4.857,1.978
5,8,20,2000,others,148.257,215.316,24.678,0.398,0.016,13.227,2.687
5,9,20,2000,others,131.769,222.919,36.526,1.084,0.03,4.908,2.01
5,1,21,2100,others,376.219,201.633,33.614,-5.946,6.108,4.042,1.594
5,2,21,2100,others,399.062,201.454,36.295,-7.087,6.091,4.626,1.89
5,3,21,2100,others,306.76,207.844,25.723,-3.048,6.165,4.528,1.946
5,4,21,2100,others,406.452,195.583,33.952,-6.988,6.081,4.648,1.804
5,5,21,2100,agent,429.508,187.023,31.287,-7.051,6.062,5.024,2.258
5,6,21,2100,others,226.503,218.545,35.933,-1.678,6.236,7.145,2.162
5,7,21,2100,others,293.379,208.579,25.768,-2.726,6.177,4.857,1.978
5,8,21,2100,others,150.231,215.346,24.681,0.357,0.015,13.227,2.687
5,9,21,2100,others,134.694,223.003,36.539,0.996,0.027,4.908,2.01
5,1,22,2200,others,378.908,201.154,33.609,-6.022,6.106,4.042,1.594
5,2,22,2200,others,401.965,200.885,36.288,-7.18,6.088,4.626,1.89
5,3,22,2200,others,308.816,207.599,25.72,-3.093,6.163,4.528,1.946
5,4,22,2200,others,409.17,195.022,33.982,-7.072,6.078,4.648,1.804
5,5,22,2200,agent,432.011,186.458,31.277,-7.11,6.06,5.024,2.258
5,6,22,2200,others,229.377,218.406,35.93,-1.763,6.234,7.145,2.162
5,7,22,2200,others,295.439,208.358,25.749,-2.773,6.175,4.857,1.978
5,8,22,2200,others,152.206,215.372,24.683,0.315,0.013,13.227,2.687
5,9,22,2200,others,137.619,223.079,36.549,0.907,0.025,4.908,2.01
5,1,23,2300,others,381.596,200.67,33.605,-6.099,6.104,4.042,1.594
5,2,23,2300,others,404.868,200.308,36.281,-7.274,6.086,4.626,1.89
5,3,23,2300,others,310.873,207.351,25.719,-3.138,6.162,4.528,1.946
5,4,23,2300,others,411.889,194.454,34.011,-7.156,6.076,4.648,1.804
5,5,23,2300,agent,434.513,185.888,31.267,-7.169,6.058,5.024,2.258
5,6,23,2300,others,232.251,218.261,35.927,-1.848,6.232,7.145,2.162
5,7,23,2300,others,297.496,208.133,25.732,-2.819,6.174,4.857,1.978
5,8,23,2300,others,154.182,215.396,24.684,0.274,0.011,13.227,2.687
5,9,23,2300,others,140.544,223.148,36.559,0.818,0.022,4.908,2.01
5,1,24,2400,others,384.284,200.179,33.601,-6.176,6.102,4.042,1.594
5,2,24,2400,others,407.77,199.724,36.274,-7.368,6.083,4.626,1.89
5,3,24,2400,others,312.929,207.099,25.718,-3.184,6.16,4.528,1.946
5,4,24,2400,others,414.611,193.88,34.041,-7.24,6.074,4.648,1.804
5,5,24,2400,agent,437.015,185.313,31.256,-7.228,6.056,5.024,2.258
5,6,24,2400,others,235.124,218.109,35.925,-1.933,6.229,7.145,2.162
5,7,24,2400,others,299.552,207.905,25.717,-2.866,6.172,4.857,1.978
5,8,24,2400,others,156.157,215.415,24.685,0.233,0.009,13.227,2.687
5,9,24,2400,others,143.469,223.211,36.568,0.73,0.02,4.908,2.01
5,1,25,2500,others,386.972,199.683,33.597,-6.252,6.099,4.042,1.594
5,2,25,2500,others,410.671,199.132,36.267,-7.462,6.081,4.626,1.89
5,3,25,2500,others,314.985,206.844,25.718,-3.229,6.158,4.528,1.946
5,4,25,2500,others,417.335,193.298,34.07,-7.324,6.072,4.648,1.804
5,5,25,2500,agent,439.515,184.733,31.243,-7.287,6.054,5.024,2.258
5,6,25,2500,others,237.998,217.952,35.922,-2.018,6.227,7.145,2.162
5,7,25,2500,others,301.606,207.674,25.704,-2.912,6.17,4.857,1.978
5,8,25,2500,others,158.132,215.432,24.685,0.191,0.008,13.227,2.687
5,9,25,2500,others,146.395,223.266,36.576,0.641,0.018,4.908,2.01
5,1,26,2600,others,389.66,199.18,33.592,-6.329,6.097,4.042,1.594
5,2,26,2600,others,413.572,198.533,36.26,-7.556,6.078,4.626,1.89
5,3,26,2600,others,317.042,206.584,25.719,-3.275,6.156,4.528,1.946
5,4,26,2600,others,420.061,192.71,34.1,-7.408,6.07,4.648,1.804
5,5,26,2600,agent,442.015,184.148,31.23,-7.346,6.052,5.024,2.258
5,6,26,2600,others,240.871,217.787,35.919,-2.103,6.225,7.145,2.162
5,7,26,2600,others,303.659,207.439,25.693,-2.959,6.169,4.857,1.978
5,8,26,2600,others,160.106,215.445,24.685,0.15,0.006,13.227,2.687
5,9,26,2600,others,149.322,223.314,36.584,0.553,0.015,4.908,2.01
5,1,27,2700,others,392.347,198.671,33.588,-6.406,6.095,4.042,1.594
5,2,27,2700,others,416.472,197.926,36.252,-7.65,6.076,4.626,1.89
5,3,27,2700,others,319.098,206.32,25.721,-3.32,6.154,4.528,1.946
5,4,27,2700,others,422.79,192.115,34.13,-7.492,6.067,4.648,1.804
5,5,27,2700,agent,444.514,183.558,31.215,-7.405,6.05,5.024,2.258
5,6,27,2700,others,243.744,217.616,35.916,-2.188,6.223,7.145,2.162
5,7,27,2700,others,305.711,207.201,25.685,-3.006,6.167,4.857,1.978
5,8,27,2700,others,162.081,215.455,24.685,0.109,0.004,13.227,2.687
5,9,27,2700,others,152.249,223.354,36.591,0.464,0.013,4.908,2.01
5,1,28,2800,others,395.033,198.156,33.584,-6.483,6.093,4.042,1.594
5,2,28,2800,others,419.373,197.31,36.245,-7.744,6.073,4.626,1.89
5,3,28,2800,others,321.155,206.051,25.723,-3.366,6.153,4.528,1.946
5,4,28,2800,others,425.521,191.513,34.159,-7.577,6.065,4.648,1.804
5,5,28,2800,agent,447.012,182.964,31.199,-7.464,6.048,5.024,2.258
5,6,28,2800,others,246.617,217.439,35.913,-2.274,6.22,7.145,2.162
5,7,28,2800,others,307.764,206.96,25.679,-3.053,6.165,4.857,1.978
5,8,28,2800,others,164.056,215.461,24.684,0.068,0.003,13.227,2.687
5,9,28,2800,others,155.178,223.388,36.597,0.375,0.01,4.908,2.01
5,1,29,2900,others,397.719,197.636,33.581,-6.56,6.091,4.042,1.594
5,2,29,2900,others,422.273,196.687,36.236,-7.838,6.07,4.626,1.89
5,3,29,2900,others,323.212,205.778,25.726,-3.411,6.151,4.528,1.946
5,4,29,2900,others,428.255,190.905,34.189,-7.661,6.063,4.648,1.804
5,5,29,2900,agent,449.51,182.364,31.181,-7.523,6.046,5.024,2.258
5,6,29,2900,others,249.489,217.254,35.91,-2.359,6.218,7.145,2.162
5,7,29,2900,others,309.816,206.716,25.675,-3.1,6.164,4.857,1.978
5,8,29,2900,others,166.031,215.465,24.684,0.027,0.001,13.227,2.687
5,9,29,2900,others,158.107,223.414,36.602,0.287,0.008,4.908,2.01
5,1,30,3000,others,400.405,197.11,33.578,-6.637,6.088,4.042,1.594
5,2,30,3000,others,425.171,196.057,36.227,-7.932,6.068,4.626,1.89
5,3,30,3000,others,325.27,205.5,25.729,-3.456,6.149,4.528,1.946
5,4,30,3000,others,430.991,190.289,34.218,-7.745,6.061,4.648,1.804
5,5,30,3000,agent,452.006,181.759,31.161,-7.582,6.044,5.024,2.258
5,6,30,3000,others,252.362,217.063,35.906,-2.444,6.216,7.145,2.162
5,7,30,3000,others,311.869,206.468,25.672,-3.148,6.162,4.857,1.978
5,8,30,3000,others,168.005,215.465,24.683,-0.014,6.283,13.227,2.687
5,9,30,3000,others,161.035,223.434,36.606,0.198,0.005,4.908,2.01
5,1,31,3100,others,403.091,196.578,33.576,-6.714,6.086,4.042,1.594
5,2,31,3100,others,428.07,195.419,36.218,-8.026,6.065,4.626,1.89
5,3,31,3100,others,327.328,205.219,25.733,-3.501,6.147,4.528,1.946
